"trial_type","trial_index","time_elapsed","internal_node_id","screen_height","screen_width","browser","browser_version","mobile","os","vsync_rate","participant_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","fullscreen","webcam","microphone","screen","version","date","time","rt","stimulus","response","question_order","trial_duration","trial_number"
"multiple-slider","210","3422349","0.0-25.0-2.61","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","14053.300000011921","","{""perceived_realness"":70,""Attractiveness"":74,""Approachability"":83,""Trustworthiness"":74,""Familiarity"":55,""Similarity"":19}","[0,1,2,3,4,5]","",""
"html-keyboard-response","211","3423210","0.0-25.0-0.62","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","845",""
"image-keyboard-response","212","3423722","0.0-25.0-1.62","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1080.jpg","null","","500","63"
"multiple-slider","213","3444302","0.0-25.0-2.62","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","20529.899999976158","","{""perceived_realness"":60,""Attractiveness"":63,""Approachability"":72,""Trustworthiness"":66,""Familiarity"":57,""Similarity"":12}","[0,1,2,3,4,5]","",""
"html-keyboard-response","214","3445011","0.0-25.0-0.63","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","697",""
"image-keyboard-response","215","3445523","0.0-25.0-1.63","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1030.jpg","null","","500","64"
"multiple-slider","216","3461438","0.0-25.0-2.63","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","15865","","{""perceived_realness"":96,""Attractiveness"":81,""Approachability"":80,""Trustworthiness"":87,""Familiarity"":61,""Similarity"":16}","[0,1,2,3,4,5]","",""
"html-keyboard-response","217","3462037","0.0-25.0-0.64","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","586",""
"image-keyboard-response","218","3462548","0.0-25.0-1.64","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1081.jpg","null","","500","65"
"multiple-slider","219","3478657","0.0-25.0-2.64","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","16090","","{""perceived_realness"":60,""Attractiveness"":34,""Approachability"":37,""Trustworthiness"":36,""Familiarity"":44,""Similarity"":15}","[0,1,2,3,4,5]","",""
