"Stimulus","Participant","Age","Sex","Sexual_Orientation","Religion","Religion_Spirituality","Religion_Activity","Education","Nationality","Ethnicity","Date","Time","Duration_Questionnaires","Duration_Task","Screen_Resolution","Screen_Size","Screen_Refresh","Browser","Browser_Version","Device","Device_OS","Trial","RT","SimulationMonitoring","Real","Attractive","Approachable","Trustworthy","Familiar","Similar","Stimulus_Sex","Stimulus_SameSex","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","Social_Anxiety","Social_Phobia","AI_1_RealisticImages","AI_2_Unethical","AI_3_VideosReal","AI_4_DailyLife","AI_5_ImitatingReality","AI_6_Dangerous","AI_7_RealisticVideos","AI_8_Exciting","AI_9_Applications","AI_10_FaceErrors","FFNI_AcclaimSeeking","FFNI_Arrogance","FFNI_Authoritativeness","FFNI_Distrust","FFNI_Entitlement","FFNI_Exhibitionism","FFNI_Exploitativeness","FFNI_GrandioseFantasies","FFNI_Indifference","FFNI_LackOfEmpathy","FFNI_Manipulativeness","FFNI_NeedForAdmiration","FFNI_ReactiveAnger","FFNI_Shame","FFNI_ThrillSeeking","GPTS_Reference","GPTS_Persecution","SelfConceptClarity","SelfAttractiveness1","SelfAttractiveness2","IUS_ProspectiveAnxiety","IUS_InhibitoryAnxiety","Attention_Check1","Attention_Check2","Attention_Check3","Norms_Dominant","Norms_Trustworthy","Norms_Smart","Norms_Warm","Norms_Attractive"
"NF-1025.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",108,7897.40000000596,-0.56,0.220056,0.559988,0.559988,0.320036,0.380024,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.63,4,4.76,3.67,4.37
"NF-1026.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",89,22357.099999994,-0.44,0.280044,0.40002,0.669966,0.260048,0.070086,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.71,3.33,4.05,2.75,3.71
"NF-1028.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",95,7332.09999999404,-0.54,0.230054,0.529994,0.460008,0.45001,1e-04,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.02,4.06,4.38,3.4,4.54
"NF-1030.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",20,52832.3999999762,0.16,0.579984,0.74995,0.529994,0.559988,1e-04,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.28,4.82,5.18,4.72,5.04
"NF-1031.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",65,10345.8000000119,0.6,0.79994,0.440012,0.54999,0.54999,0.729954,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.68,4.19,4.36,3.74,4.36
"NF-1032.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",85,9455.09999999404,0.7,0.84993,0.79994,0.609978,0.15007,0.390022,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.67,4.27,4.73,4.02,5.49
"NF-1034.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",32,8920.5,0.48,0.739952,0.40002,0.310038,0.45001,1e-04,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,2.7,3.41,3.74,2.63,3.67
"NF-1036.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",30,11385,0.62,0.809938,0.84993,0.689962,0.589982,1e-04,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.12,4.24,4.4,3.83,4.38
"NF-1037.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",46,9258.90000000596,0.46,0.729954,0.639972,0.609978,0.629974,1e-04,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,2.38,4.36,4.62,3.82,4.56
"NF-1039.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",13,14746.7000000179,-0.54,0.230054,0.330034,0.659968,0.579984,1e-04,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,2.84,4.48,4.52,4.25,4
